,act_total_17,act_participation_17,sat_total_17,sat_participation_17,act_total_18,act_participation_18,sat_total_18,sat_participation_18,act_total_19,act_participation_19,sat_total_19,sat_participation_19
$40-50k,21.041176470588233,74.29411764705883,1149.2941176470588,28.529411764705884,20.46470588235294,75.52941176470588,1128.4705882352941,32.23529411764706,20.84375,62.75,1094.0,51.8125
$50-60k,22.08,58.53333333333333,1134.9333333333334,41.266666666666666,21.922222222222224,60.55555555555556,1141.5,45.0,21.072222222222223,69.11111111111111,1151.6666666666667,33.166666666666664
$60-70k,23.099999999999998,43.57142857142857,1080.142857142857,62.42857142857143,22.928571428571427,36.57142857142857,1091.2857142857142,70.0,22.8,40.8,1083.4,70.9
<$40k,20.245454545454546,77.27272727272727,1123.4545454545455,35.36363636363637,19.78,80.2,1095.0,38.2,18.85,100.0,1189.0,4.5
>$70k,24.2,32.0,950.0,100.0,23.6,29.25,1069.0,73.5,23.240000000000002,27.2,1064.2,71.6
